concurso_id,fecha,match_no,liga,home,away,l_g,a_g,resultado,premio_1,premio_2
2283,2025-06-27,1,Liga MX,América,Chivas,2,0,L,0,0
2283,2025-06-27,2,Liga MX,Cruz Azul,Pumas,3,2,L,0,0
2283,2025-06-27,3,Liga MX,Tigres,Monterrey,2,2,E,0,0
2283,2025-06-27,4,Liga MX,Santos,Toluca,2,3,V,0,0
2283,2025-06-27,5,Liga MX,León,Pachuca,2,1,L,0,0
2283,2025-06-27,6,Liga MX,Atlas,Necaxa,2,3,V,0,0
2283,2025-06-27,7,Liga MX,Puebla,Querétaro,2,3,V,0,0
2283,2025-06-27,8,Liga MX,Tijuana,Juárez,0,0,E,0,0
2283,2025-06-27,9,Liga MX,Mazatlán,San Luis,0,1,V,0,0
2283,2025-06-27,10,Liga MX,América,Chivas,1,3,V,0,0
2283,2025-06-27,11,Liga MX,Cruz Azul,Pumas,2,3,V,0,0
2283,2025-06-27,12,Liga MX,Tigres,Monterrey,3,3,E,0,0
2283,2025-06-27,13,Liga MX,Santos,Toluca,1,3,V,0,0
2283,2025-06-27,14,Liga MX,León,Pachuca,2,0,L,0,0
